dataset_name,model_arch,model_name,train_size,batch_size,epochs,num_points,lr,dropout
AhmedML,PointNet,RegPointNet,350,8,200,100000,0.001,0.1
AhmedML,PointNet,RegPointNet,300,8,200,100000,0.001,0.1
AhmedML,PointNet,RegPointNet,250,8,200,100000,0.001,0.1
AhmedML,PointNet,RegPointNet,200,8,200,100000,0.001,0.1
AhmedML,PointNet,RegPointNet,150,8,200,100000,0.001,0.1
AhmedML,PointNet,RegPointNet,100,8,200,100000,0.001,0.1
AhmedML,PointNet,RegPointNet,50,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,350,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,300,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,250,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,200,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,150,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,100,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithSelfAttention,50,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,350,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,300,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,250,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,200,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,150,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,100,8,200,100000,0.001,0.1
AhmedML,PointNet,PointNetWithTorchTransformer,50,8,200,100000,0.001,0.1
